iteration,residual_norm
1.000000000000000000e+00,2.021510524788367250e-02
2.000000000000000000e+00,1.957551002234660109e-02
3.000000000000000000e+00,1.923577476330746994e-02
4.000000000000000000e+00,1.923577476330746994e-02
5.000000000000000000e+00,1.844783199695108206e-02
